Record,New/Recap,Band Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,PCRsex,PCRMorph,last updated:,17-Nov-2023,by:,DR,
143,N,2771-10012,WTSP,W116,RED/A,GY/RED,26-Nov-21,M,TS,,,,,
144,N,2771-10013,WTSP,W117,YEL/A,GY/RED,26-Nov-21,M,TS,,,,,
145,N,2771-10014,WTSP,W118,ORG/A,GY/RED,26-Nov-21,F,WS,,,,,
146,N,2771-10015,WTSP,W119,DKB/A,GY/RED,27-Nov-21,F,WS,,,,,
147,N,2771-10016,WTSP,W120,GRN/A,GY/RED,28-Nov-21,F,TS,,,,,
148,N,2771-10017,WTSP,W121,WHT/A,GY/RED,28-Nov-21,F,TS,,,,,
149,N,2771-10018,WTSP,W122,BR/A,GY/RED,28-Nov-21,M,WS,,,,,
150,N,2771-10019,WTSP,W123,RED/A,ORG/GY,28-Nov-21,M,TS,,,,,
151,N,2771-10020,WTSP,W124,YEL/A,ORG/GY,28-Nov-21,M,WS,,,,,
152,N,2771-10021,WTSP,W125,ORG/A,ORG/GY,03-Dec-21,F,WS,,,,,
154,N,2771-10022,WTSP,W126,DKB/A,ORG/GY,12-Dec-21,M,WS,,,,,
155,N,2771-10023,WTSP,W127,GRN/A,ORG/GY,12-Dec-21,F,WS,,,,,
156,N,2771-10024,WTSP,W128,WHT/A,ORG/GY,12-Dec-21,M,WS,,,,,
158,N,2771-10025,WTSP,W129,DKB/A,GRN/GY,14-Dec-21,F,WS,,,,,
159,N,2771-10027,WTSP,W130,RED/A,GRN/GY,14-Dec-21,M,WS,,,,,
160,N,2771-10028,WTSP,W131,YEL/A,GRN/GY,14-Dec-21,M,WS,,,,,
161,N,2771-10029,WTSP,W132,GRN/A,GRN/GY,21-Dec-21,M,TS,,,,,
162,N,2771-10030,WTSP,W133,WHT/A,GRN/GY,21-Dec-21,M,TS,,,,,
163,N,2771-10034,WTSP,W134,ORG/A,GRN/GY,21-Dec-21,M,WS,,,,,
164,N,2771-10035,WTSP,W135,YG/A,RED/DKB,21-Feb-22,F,TS,,,,,
165,N,2771-10040,WTSP,W136,YG/A,RED/RED,10-Mar-22,F,TS,,,,,
166,N,2771-10041,WTSP,W137,YG/A,RED/YEL,10-Mar-22,F,TS,,,,,
167,N,2771-10042,WTSP,W138,YG/A,RED/WHT,10-Mar-22,F,WS,,,,,
168,N,2771-10043,WTSP,W139,YG/A,RED/ORG,10-Mar-22,M,WS,,,,,
169,N,2771-10044,WTSP,W140,YG/A,RED/YG,10-Mar-22,M,TS,,,,,
170,N,2771-10045,WTSP,W141,YG/YEL,RED/A,10-Mar-22,M,TS,,,,,
171,N,2771-10046,WTSP,W142,YG/YEL,YEL/A,10-Mar-22,F,WS,,,,,
172,N,2771-10047,WTSP,W143,GY/YEL,ORG/A,10-Mar-22,F,WS,,,,,
173,N,2771-10048,WTSP,W144,YG/YEL,DKB/A,10-Mar-22,F,TS,,,,,
174,N,2771-10049,WTSP,W145,YG/YEL,GRN/A,10-Mar-22,M,WS,,,,,
175,N,2771-10050,WTSP,W146,YG/YEL,WHT/A,10-Mar-22,F,TS,,,,,
176,N,2771-10051,WTSP,W147,YG/RED,RED/A,10-Mar-22,M,TS,,,,,
177,N,2771-10052,WTSP,W148,YG/RED,YEL/A,11-Mar-22,F,TS,,,,,
178,N,2771-10055,WTSP,W149,YG/RED,ORG/A,19-Mar-22,F,TS,,,,,
179,N,2771-10058,WTSP,W150,YG/RED,DKB/A,19-Mar-22,F,TS,,,,,
182,N,2771-10059,WTSP,W151,YG/RED,WHT/A,27-Mar-22,M,WS,,,,,
183,N,2771-10060,WTSP,W152,YG/RED,GRN/A,27-Mar-22,F,TS,,,,,
184,N,2771-10061,WTSP,W153,YG/GRN,RED/A,27-Mar-22,F,WS,,,,,
185,N,2771-10062,WTSP,W154,YG/GRN,YEL/A,27-Mar-22,F,WS,,,,,
186,N,2771-10063,WTSP,W155,YG/GRN,ORG/A,27-Mar-22,F,TS,,,,,
191,N,2771-10065,WTSP,W156,YG/GRN,DKB/A,10-Apr-22,F,TS,,,,,
196,N,2771-10066,WTSP,W157,YG/GRN,WHT/A,10-Apr-22,F,TS,,,,,
197,N,2771-10068,WTSP,W158,YG/GRN,GRN/A,14-Apr-22,M,WS,,,,,
199,N,2771-10089,WTSP,W159,YG/ORG,RED/A,22-Oct-22,M,TS,,,,,
200,N,2771-10090,WTSP,W160,YG/ORG,YEL/A,22-Oct-22,M,TS,,,,,
201,N,2771-10091,WTSP,W161,YG/ORG,ORG/A,22-Oct-22,M,WS,,,,,
202,N,2771-10092,WTSP,W162,YG/ORG,DKB/A,22-Oct-22,M,TS,,,,,
203,N,2771-10094,WTSP,W163,YG/ORG,GRN/A,23-Oct-22,F,TS,,,,,
205,N,2771-10097,WTSP,W164,YG/ORG,WHT/A,29-Oct-22,M,WS,,,,,
206,N,2771-10098,WTSP,W165,YEL/YG,RED/A,02-Nov-22,F,TS,,,,,
