Record,New_Recap,BanderID,Band_Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,Season,Day,Month,Year,OrdDay,Time,Wing,Tail,Tarsus,Fat_Score,BirdMass,BirdAge,How_Aged,Eye,Skull,PCRsex,PCRMorph,Field_Morph,Band_Location,P4_Yes_No,R6_Yes_No,Blood_Yes_No,Images_Yes_No,Spec_Data,P4GenType,P4gen,R6gen,R6GenType,age_r6,age_a1,age_a2,age_a3,Latitude,Longitude,County,State,Comments
70,N,SW,2831-20137,WTSP,W064,ORG/WL,WHT/A,6-Mar-21,20.21,6,3,2021,65,910,73,73,NA,2,26.5,SY,X,NA,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
71,N,SW,2831-20138,WTSP,W065,ORG/WL,BR/A,6-Mar-21,20.21,6,3,2021,65,1420,74,74,NA,1,27.9,SY,X,NA,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
72,N,SW,2831-20140,WTSP,W066,WL/WHT,RED/A,6-Mar-21,20.21,6,3,2021,65,1600,74,76,NA,3,26.8,SY,X,NA,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
73,N,SW,2831-20141,WTSP,W067,WL/WHT,ORG/A,7-Mar-21,20.21,7,3,2021,66,900,72,70,NA,3,26.3,SY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
74,N,SW,2831-20143,WTSP,W068,WL/WHT,YEL/A,7-Mar-21,20.21,7,3,2021,66,1050,71,75,NA,3,26.0,SY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
75,R,SW,2831-20141,WTSP,W067,WL/WHT,ORG/A,20-Mar-21,20.21,20,3,2021,79,730,NA,x,NA,NA,NA,x,X,NA,NA,F,TS,NA,1616EAST,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,Rp4 half-grown
76,N,SW,2831-20144,WTSP,W069,DKB/A,WL/WHT,20-Mar-21,20.21,20,3,2021,79,740,70,71,NA,0,24.9,SY,X,medium,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,head molt
77,N,SW,2831-20145,WTSP,W070,WL/WHT,GRN/A,20-Mar-21,20.21,20,3,2021,79,740,73,71,NA,0,26.6,SY,X,rich,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,WS; head molt
78,N,SW,2831-20146,WTSP,W071,WL/WHT,DKB/A,20-Mar-21,20.21,20,3,2021,79,810,74,73,NA,1,27.2,SY,X,dull,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,head molt
79,N,SW,2831-20147,WTSP,W072,WL/WHT,WHT/A,20-Mar-21,20.21,20,3,2021,79,840,73,75,NA,0,26.2,SY,X,dull,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,head molt
80,R,SW,2831-20068,WTSP,W017,RW/RED,BR/A,22-Mar-21,20.21,22,3,2021,81,940,71,70,NA,2,26.4,SY,X,dull,NA,F,TS,NA,EMERALD,?,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
81,N,SW,2831-20150,WTSP,W073,RED/A,RW/YEL,22-Mar-21,20.21,22,3,2021,81,920,73,74,NA,2,27.4,ASY,X,medium,NA,M,TS,NA,EMERALD,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
82,N,SW,2831-20151,WTSP,W074,YEL/A,RW/YEL,22-Mar-21,20.21,22,3,2021,81,950,78,78,NA,0,27.8,ASY,X,rich,NA,M,WS,NA,EMERALD,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
83,N,SW,2831-20152,WTSP,W075,ORG/A,RW/YEL,22-Mar-21,20.21,22,3,2021,81,1000,73,72,NA,2,24.2,SY,X,medium,NA,M,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
